material_ID,formula_pretty,over_0.5A,over_1.0A,over_1.5A,over_2.0A,over_2.5A,over_3.0A,over_3.5A,over_4.0A,over_4.5A,over_5.0A,over_5.5A,over_6.0A,over_6.5A,M_O_dist,M_O_dist_std,M_O_ang,M_O_ang_std,n_M_O_bond,n_M_O_ang,n_atoms,M2O_ratio,cell_volume,n_density,density
19275,CoO,0.8510788484651926,0.5791441707842876,0.2787359062899441,0.0939580670393193,0.0188297689680828,0.0017265390999103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1528977518637116,0.06943021672579226,107.92394635548733,35.8496423357848,24,60,8,1.0,79.70449348400037,0.10037075264277158,6.2466621570001335
19306,Fe3O4,0.8608427495291902,0.6077683615819209,0.3501789077212806,0.1742655367231638,0.0630037664783427,0.010108286252354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.024322670222567,0.059572110626046504,108.2315026814182,32.93093077287881,32,72,14,0.75,150.5150568877793,0.09301395016206312,5.110491906732948
19326,MnO2,0.851997914086435,0.5832409882015513,0.3391239163027182,0.1615768202855094,0.0523108011211785,0.0056710775047258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8933997248912384,0.009905280379780133,106.7431602579796,34.02591373022439,24,60,12,0.5,119.70007702654249,0.10025056205552066,4.8257933902872345
19395,MnO2,0.8681159321152754,0.6302389372661418,0.4132458666520737,0.2567635047780612,0.1582540410017169,0.1029626032054395,0.0698547770352078,0.0465561704369001,0.0300296191915944,0.0180451333547667,0.0097202935925411,0.0045831081681932,0.001908488326755,1.8923037482044116,0.010590704448999696,106.70197769590574,33.93576337978747,24,60,12,0.5,134.76660221473983,0.08904283259200196,4.2862833301319405
19399,Cr2O3,0.8477620281461159,0.5720418635370624,0.3036630594929634,0.1302519941065894,0.0371513488797439,0.0072016460905349,0.0013844434283391,8.890921099425901e-05,0.0,0.0,0.0,0.0,0.0,1.99807943802176,0.02672566324842415,104.64735658794022,30.90764383232905,24,60,10,0.6666666666666666,97.6733691397389,0.1023820524271385,5.169749424035999
19457,V6O13,0.8777067609338483,0.6583219548154167,0.438300510148521,0.2677567705671947,0.14994513180931,0.0810331973495732,0.0435594796317548,0.0239660906204712,0.0125736113321661,0.0060857619139365,0.0022659306231518,0.0005193630263786,4.188411503053352e-06,1.9615601735067156,0.16370960403397733,104.4016704499357,31.500737005686812,72,180,38,0.46153846153846156,460.2918881717069,0.08255631041193694,3.707303787696879
19770,Fe2O3,0.8563209954213414,0.5936178392925798,0.3254482541679773,0.1436859948970675,0.0453601761560239,0.0082415854042151,0.0016007829156618,4.893222886302471e-05,0.0,0.0,0.0,0.0,0.0,2.0444194157335023,0.0772931900718433,103.98907414056791,30.271359239628413,24,60,10,0.6666666666666666,103.1107530196113,0.09698309543038675,5.145162644515671
20141,Mn3O4,0.8579625850340136,0.605608843537415,0.3288775510204081,0.1262108843537415,0.0278775510204081,0.0017414965986394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152320489527551,0.17120497599861625,105.56935517271224,32.301137700227656,72,180,28,0.75,297.14883285576957,0.09422887423418107,5.116399789635258
20593,VO2,0.8677162629757785,0.630875978874522,0.3978255326898561,0.226669094882535,0.1184265161172828,0.0634857038790748,0.0351047168093243,0.0194135858677836,0.0103806228373702,0.0050701147331997,0.0020251320342378,0.0006410489892551,0.0001201966854853,1.9496689181257236,0.1562441515141542,104.06104458054911,30.8559394199202,96,240,48,0.5,536.1303385523793,0.08953046777693305,4.1116594670093125
20974,VO2,0.8671179551764605,0.6243237828090563,0.3835045939834559,0.2042319031399376,0.0814537596244669,0.018404556773621,0.0019177376420413,0.0,0.0,0.0,0.0,0.0,0.0,1.9675354445168187,0.05235458739288347,106.18062901184109,33.184280313032744,24,60,12,0.5,133.398883983148,0.08995577505367987,4.131191574170659
21018,V4O7,0.8555221087743563,0.5912419151446121,0.3142984989626978,0.1348045397225725,0.0484765895130781,0.0130211935077085,0.0027498677948175,0.0003376316967009,0.0,0.0,0.0,0.0,0.0,2.0741367372354533,0.13041974239692405,101.75513861675941,28.76829695724871,52,144,22,0.5714285714285714,225.95636200708034,0.0973639325955807,4.642665768697246
21395,CrO2,0.8522544283413849,0.5841062801932367,0.3244283413848631,0.1352012882447665,0.028647342995169,0.0003220611916264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.941061929521832,0.017493160423365225,107.99999987437536,36.346003777125475,12,30,6,0.5,60.1560316132143,0.09974062183121131,4.63876732563165
21579,V2O3,0.8651665742662915,0.6184558235846566,0.3584743969345228,0.1838884059973381,0.0837637092133959,0.0292678917149218,0.0077598826136306,0.0013344129894523,6.470941102193649e-05,0.0,0.0,0.0,0.0,2.0637011799379334,0.043201356391835914,105.2468469611768,31.565556339293124,96,240,40,0.6666666666666666,438.79860992930867,0.091157991604495,4.539153136104089
22408,CoO,0.8707571583604642,0.6334585524668169,0.4035562233909341,0.2308706903748226,0.1073879288755321,0.0279823023624676,0.0007012271475081,0.0,0.0,0.0,0.0,0.0,0.0,1.9498265664620238,0.02349915957352719,109.47114679184415,0.089450736723375,8,12,4,1.0,45.6458388279094,0.08763120807310623,5.4538053848289
